""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"414.00","11","23.760690","37.971422","298.342297","4.620600","70.98823531170066","35.49411765585033"
"414.00","12","23.760570","37.971476","298.342297","4.620600","73.1401169182746","36.5700584591373"
"414.00","13","23.774287","37.967148","79.580053","4.926181","41.69966504927517","20.849832524637588"
"414.00","14","23.774147","37.967131","81.639112","4.926181","61.048485027357415","30.52424251367871"
"414.00","15","23.760809","37.971367","298.342297","4.620600","47.33687374499157","23.668436872495786"
"414.00","16","23.772007","37.967000","98.011334","5.153207","63.06181863021311","31.530909315106555"
"414.00","17","23.763371","37.970087","307.040380","4.884129","62.3131040552784","31.1565520276392"
"414.00","18","23.771060","37.967181","103.937373","5.234089","61.42910661250091","30.714553306250455"
"414.00","19","23.770404","37.967317","98.833083","5.205408","59.446283239857586","29.723141619928793"
"414.00","20","23.763476","37.970013","311.729019","4.884129","36.54216564811484","18.27108282405742"
"414.00","21","23.763579","37.969937","314.627588","4.884130","81.77975462176006","40.88987731088003"
"414.00","22","23.764158","37.969398","318.372355","5.616441","41.072650493768904","20.536325246884452"
"414.00","23","23.764814","37.968775","318.577189","5.421137","54.20298397427189","27.10149198713594"
"414.00","24","23.766959","37.967638","97.338606","4.946208","60.22557239971065","30.11278619985533"
"414.00","25","23.765832","37.967952","117.778646","4.590662","58.52170652099008","29.26085326049504"
"414.00","6","23.760451","37.971531","298.342297","4.620600","52.52834207125782","26.26417103562891"
"414.00","8","23.774427","37.967162","81.863111","4.926181","65.07400521770832","32.53700260885416"
"415.00","11","23.760644","37.971443","298.342297","4.620600","63.83336069946192","31.91668034973096"
"415.00","12","23.760525","37.971497","298.342297","4.620600","74.3938063016607","37.19690315083035"
"415.00","13","23.774343","37.967154","79.580053","4.926181","54.93198483028144","27.46599241514072"
"415.00","14","23.774203","37.967137","80.251803","4.926181","78.78614757071054","39.39307378535527"
"415.00","15","23.760763","37.971388","298.342297","4.620600","67.71281474149502","33.85640737074751"
"415.00","16","23.772065","37.966993","96.521212","5.153207","60.61216589678989","30.306082948394945"
"415.00","17","23.763327","37.970114","305.385662","4.884129","68.61119671163469","34.305598355817345"
"415.00","18","23.771117","37.967169","103.937373","5.234089","48.21925776041442","24.10962888020721"
"415.00","19","23.770463","37.967309","98.833083","5.205408","56.72002251757398","28.36001125878699"
"415.00","20","23.763436","37.970044","311.729019","4.884129","64.30370811058539","32.151854055292695"
